Driver_ID,Driver_Name,Total_Telemetry,Speeding_Events,Harsh_Acceleration_Events,Harsh_Braking_Events,Lateral_Events,High_Gyro_Events,Speeding_Rate,Harsh_Acceleration_Rate,Harsh_Braking_Rate,Lateral_Event_Rate,High_Gyro_Rate,Speeding_Rate_Score,Harsh_Acceleration_Rate_Score,Harsh_Braking_Rate_Score,Lateral_Event_Rate_Score,High_Gyro_Rate_Score,Risk_Score,Risk_Category
D06,Bhavani Raj,470,27,33,26,24,29,5.74468085106383,7.021276595744681,5.531914893617021,5.106382978723404,6.170212765957447,96.66666666666667,90.0,90.0,96.66666666666667,83.33333333333334,91.67,High Risk
D03,Vignesh Murugan,482,16,37,32,26,30,3.319502074688797,7.676348547717843,6.639004149377594,5.394190871369295,6.224066390041494,83.33333333333334,93.33333333333333,93.33333333333333,100.0,86.66666666666667,90.83,High Risk
D19,Senthil Pillai,338,16,26,16,17,27,4.733727810650888,7.6923076923076925,4.733727810650888,5.029585798816568,7.988165680473373,86.66666666666667,96.66666666666667,80.0,93.33333333333333,100.0,90.0,High Risk
D23,Kavya Pillai,457,26,27,31,18,32,5.689277899343545,5.908096280087528,6.783369803063458,3.938730853391685,7.00218818380744,93.33333333333333,83.33333333333334,96.66666666666667,66.66666666666666,93.33333333333333,88.17,High Risk
D14,Rajesh Subramaniam,426,24,35,32,17,24,5.633802816901409,8.215962441314554,7.511737089201878,3.9906103286384975,5.633802816901409,90.0,100.0,100.0,73.33333333333333,63.33333333333333,88.0,High Risk
D24,Lakshmi Iyer,460,27,26,25,22,27,5.869565217391305,5.6521739130434785,5.434782608695652,4.782608695652174,5.869565217391305,100.0,80.0,86.66666666666667,90.0,76.66666666666667,87.67,High Risk
D12,Praveen Murugan,360,8,22,14,16,21,2.2222222222222223,6.111111111111111,3.888888888888889,4.444444444444445,5.833333333333333,80.0,86.66666666666667,73.33333333333333,86.66666666666667,73.33333333333333,79.67,High Risk
D25,Deepa Pillai,439,1,14,15,18,25,0.22779043280182232,3.189066059225513,3.416856492027335,4.100227790432802,5.694760820045558,46.666666666666664,63.33333333333333,66.66666666666666,83.33333333333334,70.0,64.0,High Risk
D01,Meena Iyer,427,1,13,14,17,26,0.234192037470726,3.0444964871194378,3.278688524590164,3.9812646370023423,6.0889929742388755,53.333333333333336,60.0,63.33333333333333,70.0,80.0,63.67,High Risk
D17,Arun Subramaniam,438,1,17,18,14,20,0.228310502283105,3.881278538812785,4.10958904109589,3.1963470319634704,4.5662100456621,50.0,76.66666666666667,76.66666666666667,56.666666666666664,46.666666666666664,62.5,High Risk
D02,Senthil Nair,402,3,10,12,9,31,0.7462686567164178,2.4875621890547266,2.9850746268656714,2.2388059701492535,7.711442786069651,76.66666666666667,36.666666666666664,60.0,36.666666666666664,96.66666666666667,61.5,High Risk
D13,Meena Kannan,431,2,14,11,12,23,0.46403712296983757,3.248259860788863,2.5522041763341066,2.784222737819025,5.336426914153132,63.33333333333333,66.66666666666666,53.333333333333336,46.666666666666664,60.0,58.5,Moderate
D21,Vignesh Raj,472,3,12,10,19,22,0.6355932203389831,2.5423728813559325,2.11864406779661,4.025423728813559,4.661016949152542,70.0,43.333333333333336,46.666666666666664,80.0,50.0,57.33,Moderate
D20,Sathish Iyer,380,0,14,20,12,19,0.0,3.684210526315789,5.263157894736842,3.1578947368421053,5.0,18.333333333333332,73.33333333333333,83.33333333333334,53.333333333333336,56.666666666666664,56.58,Moderate
D27,Arun Chandran,366,1,13,6,11,18,0.273224043715847,3.551912568306011,1.639344262295082,3.0054644808743167,4.918032786885246,56.666666666666664,70.0,36.666666666666664,50.0,53.333333333333336,52.83,Moderate
D15,Meena Velu,479,1,12,12,18,32,0.20876826722338201,2.5052192066805845,2.5052192066805845,3.7578288100208765,6.6805845511482245,36.666666666666664,40.0,50.0,63.33333333333333,90.0,52.67,Moderate
D10,Mohan Pillai,470,3,14,8,11,17,0.6382978723404255,2.9787234042553195,1.702127659574468,2.3404255319148937,3.6170212765957444,73.33333333333333,56.666666666666664,40.0,40.0,36.666666666666664,51.17,Moderate
D07,Kavya Pillai,462,1,12,13,15,19,0.21645021645021645,2.5974025974025974,2.813852813852814,3.2467532467532463,4.112554112554113,43.333333333333336,50.0,56.666666666666664,60.0,43.333333333333336,50.5,Moderate
D08,Arun Raj,466,1,12,17,12,18,0.2145922746781116,2.575107296137339,3.648068669527897,2.575107296137339,3.862660944206009,40.0,46.666666666666664,70.0,43.333333333333336,40.0,49.33,Moderate
D04,Ganesh Kannan,475,3,11,5,19,27,0.631578947368421,2.3157894736842106,1.0526315789473684,4.0,5.684210526315789,66.66666666666666,33.33333333333333,16.666666666666664,76.66666666666667,66.66666666666666,49.0,Moderate
D30,Gokul Velu,474,2,13,10,7,13,0.42194092827004215,2.7426160337552745,2.109704641350211,1.4767932489451476,2.7426160337552745,60.0,53.333333333333336,43.333333333333336,13.333333333333334,30.0,43.0,Moderate
D16,Sathish Chandran,459,0,7,6,8,12,0.0,1.5250544662309369,1.3071895424836601,1.7429193899782136,2.6143790849673203,18.333333333333332,26.666666666666668,23.333333333333332,30.0,26.666666666666668,24.25,Safe
D22,Priya Iyer,458,0,3,7,7,8,0.0,0.6550218340611353,1.5283842794759825,1.5283842794759825,1.7467248908296942,18.333333333333332,10.0,33.33333333333333,23.333333333333332,10.0,19.92,Safe
D18,Revathi Raj,400,0,5,5,6,9,0.0,1.25,1.25,1.5,2.25,18.333333333333332,23.333333333333332,20.0,18.333333333333332,16.666666666666664,19.5,Safe
D26,Anitha Chandran,419,0,4,4,7,12,0.0,0.9546539379474941,0.9546539379474941,1.6706443914081146,2.863961813842482,18.333333333333332,16.666666666666664,10.0,26.666666666666668,33.33333333333333,19.42,Safe
D09,Rajesh Raj,396,0,7,6,2,4,0.0,1.7676767676767675,1.5151515151515151,0.5050505050505051,1.0101010101010102,18.333333333333332,30.0,30.0,3.3333333333333335,3.3333333333333335,19.08,Safe
D29,Rajesh Subramaniam,442,0,4,6,4,8,0.0,0.904977375565611,1.3574660633484164,0.904977375565611,1.809954751131222,18.333333333333332,13.333333333333334,26.666666666666668,10.0,13.333333333333334,17.42,Safe
D28,Praveen Iyer,400,0,0,4,6,10,0.0,0.0,1.0,1.5,2.5,18.333333333333332,3.3333333333333335,13.333333333333334,18.333333333333332,23.333333333333332,14.83,Safe
D05,Manoj Kumar,482,0,2,2,9,11,0.0,0.4149377593360996,0.4149377593360996,1.8672199170124482,2.2821576763485476,18.333333333333332,6.666666666666667,3.3333333333333335,33.33333333333333,20.0,14.75,Safe
D11,Mohan Iyer,357,0,4,2,2,5,0.0,1.1204481792717087,0.5602240896358543,0.5602240896358543,1.400560224089636,18.333333333333332,20.0,6.666666666666667,6.666666666666667,6.666666666666667,12.25,Safe
